Country,SiteID,SiteName,StudyNumber,Measure_Year,Measure_Month,Measure_DOY,Lat_Original,Long_Original,Latitude,Longitude,RS_Paper,RS_Norm,Tsoil(C),SoilMoisture(%),Meas_Method,IGBP_FromPaper,Ecosystem_type,Leaf_habit,DOY_Frequency,Tm,Comments
India,IN-KUR,Kurukshetra,267,1976,5,139,29.58,76.51,29.75,76.75,113.6,0.742,31,,Soda lime,GRA,Grassland,Deciduous,9,31.5,Stand II a
India,IN-KUR,Kurukshetra,267,1976,5,141,29.58,76.51,29.75,76.75,157.978,1.031,32,,Soda lime,GRA,Grassland,Deciduous,9,31.5,Stand II a
India,IN-KUR,Kurukshetra,267,1976,5,152,29.58,76.51,29.75,76.75,77.74,0.507,,,Soda lime,GRA,Grassland,Deciduous,9,31.5,Stand I a
India,IN-KUR,Kurukshetra,267,1976,6,154,29.58,76.51,29.75,76.75,160.683,1.049,,,Soda lime,GRA,Grassland,Deciduous,16,31.4,Stand III a
India,IN-KUR,Kurukshetra,267,1976,6,155,29.58,76.51,29.75,76.75,136.466,0.891,,,Soda lime,GRA,Grassland,Deciduous,16,31.4,Stand I a
India,IN-KUR,Kurukshetra,267,1976,6,157,29.58,76.51,29.75,76.75,141.366,0.923,36,,Soda lime,GRA,Grassland,Deciduous,16,31.4,Stand II a
India,IN-KUR,Kurukshetra,267,1976,6,159,29.58,76.51,29.75,76.75,368.277,2.405,,,Soda lime,GRA,Grassland,Deciduous,16,31.4,Stand III a
India,IN-KUR,Kurukshetra,267,1976,6,160,29.58,76.51,29.75,76.75,221.897,1.449,,,Soda lime,GRA,Grassland,Deciduous,16,31.4,Stand I a
India,IN-KUR,Kurukshetra,267,1976,6,161,29.58,76.51,29.75,76.75,203.972,1.332,32,,Soda lime,GRA,Grassland,Deciduous,16,31.4,Stand II a
India,IN-KUR,Kurukshetra,267,1976,6,165,29.58,76.51,29.75,76.75,266.616,1.741,30,,Soda lime,GRA,Grassland,Deciduous,16,31.4,Stand II a
India,IN-KUR,Kurukshetra,267,1976,6,166,29.58,76.51,29.75,76.75,240.48,1.57,,,Soda lime,GRA,Grassland,Deciduous,16,31.4,Stand I a
India,IN-KUR,Kurukshetra,267,1976,6,168,29.58,76.51,29.75,76.75,184.659,1.206,,,Soda lime,GRA,Grassland,Deciduous,16,31.4,Stand I a
India,IN-KUR,Kurukshetra,267,1976,6,169,29.58,76.51,29.75,76.75,292.675,1.911,28,,Soda lime,GRA,Grassland,Deciduous,16,31.4,Stand II a
India,IN-KUR,Kurukshetra,267,1976,6,171,29.58,76.51,29.75,76.75,62,0.404,,,Soda lime,GRA,Grassland,Deciduous,16,31.4,Stand III a
India,IN-KUR,Kurukshetra,267,1976,6,172,29.58,76.51,29.75,76.75,286.6,1.872,,,Soda lime,GRA,Grassland,Deciduous,16,31.4,Stand III a
India,IN-KUR,Kurukshetra,267,1976,6,175,29.58,76.51,29.75,76.75,217.9,1.423,29.5,,Soda lime,GRA,Grassland,Deciduous,16,31.4,Stand II a
India,IN-KUR,Kurukshetra,267,1976,6,176,29.58,76.51,29.75,76.75,263.7,1.722,,,Soda lime,GRA,Grassland,Deciduous,16,31.4,Stand I a
India,IN-KUR,Kurukshetra,267,1976,6,180,29.58,76.51,29.75,76.75,295.8,1.932,32.27,,Soda lime,GRA,Grassland,Deciduous,16,31.4,Stand II a
India,IN-KUR,Kurukshetra,267,1976,6,182,29.58,76.51,29.75,76.75,454.181,2.966,,,Soda lime,GRA,Grassland,Deciduous,16,31.4,Stand III a
India,IN-KUR,Kurukshetra,267,1976,7,184,29.58,76.51,29.75,76.75,199.68,1.304,34.86,,Soda lime,GRA,Grassland,Deciduous,10,30.3,Stand II a
